pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,acc1,acc2,acc3,acc4,acc5,acc6,acc_filt1,acc_filt2,acc_filt3,acc_filt4,acc_filt5,acc_filt6,torque1,torque2,torque3,torque4,torque5,torque6
-0.49015235900878906,-0.8631198406219482,0.0950002670288086,-1.2757937908172607,0.7020869255065918,-0.7983016967773438,0.35665035247802734,0.13604164123535156,-1.356053352355957,0.7021188735961914,0.6535530090332031,-0.50201416015625,0.2980164028228114,0.9500762921991226,-0.046490558840358576,-0.3719244707228686,-1.1837211520122068,0.07629219912263971,0.4511426058051391,-0.7431565801199655,0.016003781524932557,-0.6162473316766034,-0.8093188741921042,-0.01386412082977303,-1.1777288913726807,44.764312744140625,18.739362716674805,2.1643290519714355,-0.6961933374404907,0.07238779962062836
-0.48652029037475586,-0.8614809513092041,0.08142209053039551,-1.2687678337097168,0.7084717750549316,-0.8033485412597656,0.3632068634033203,0.16388893127441406,-1.3578176498413086,0.7025957107543945,0.6384849548339844,-0.5046844482421875,0.5424157169424443,2.2447665824233467,-0.028610938915645416,-0.2515378379667159,-1.3339850269419675,-0.24796147060226026,0.44696057325189487,-0.7324585162378998,0.03941846278416303,-0.6353848580244642,-0.8401344338729854,-0.0028414620719159076,-1.101670503616333,42.53673553466797,17.5991153717041,2.042693853378296,-0.6634246110916138,0.07330414652824402
-0.4828453063964844,-0.8596715927124023,0.0678558349609375,-1.2617969512939453,0.714740514755249,-0.8084182739257812,0.36749839782714844,0.18093585968017578,-1.3566255569458008,0.6970882415771484,0.6268739700317383,-0.5069732666015625,0.47565685947260505,-1.3971675170473512,0.06795097992465786,-0.8630966572886367,-0.605598207047828,-0.4005531448190358,0.44303865775070694,-0.7323384512959326,0.06376842897910251,-0.6564527426520219,-0.8654428314418793,0.009737102893978694,-0.7719677686691284,40.425758361816406,16.577686309814453,1.9328322410583496,-0.6324509382247925,0.07347305119037628
-0.47911810874938965,-0.8583121299743652,0.0542912483215332,-1.254943609237671,0.7210042476654053,-0.8135452270507812,0.37271976470947266,0.13594627380371094,-1.3564586639404297,0.6853342056274414,0.626373291015625,-0.5126953125,0.5602708373068853,-2.378170894526035,0.1049017737936296,-0.646099561319855,-0.6139137898149915,0.038146099561319854,0.43939117089055113,-0.7425199070241193,0.08893580452032826,-0.6793847236423851,-0.8841441234322335,0.02354908358979319,-0.7660895586013794,37.46202850341797,15.15031623840332,1.784879207611084,-0.5888025760650635,0.073401540517807
-0.47533106803894043,-0.8569784164428711,0.04074597358703613,-1.2481019496917725,0.7271502017974854,-0.8186073303222656,0.3787040710449219,0.13337135314941406,-1.354527473449707,0.6841659545898438,0.6145954132080078,-0.5062103271484375,0.2992084684341026,-0.330202174327675,0.09536524890329964,-0.3766927331680336,-1.3386896814800686,0.22887659736791913,0.4360520940923532,-0.7615694558430182,0.11469400738746115,-0.7037406206859058,-0.8958099071223536,0.03799796111665354,-0.7116900682449341,41.02989196777344,16.61418914794922,1.9587860107421875,-0.6367576718330383,0.07352176308631897
-0.4715440273284912,-0.8556849956512451,0.02720046043395996,-1.2413239479064941,0.7331461906433105,-0.8236885070800781,0.3787040710449219,0.12934207916259766,-1.3545513153076172,0.677800178527832,0.5995988845825195,-0.50811767578125,0.2873015116112727,-2.5237232368508895,0.151399551761957,-0.6365933908731105,-1.2076200467312002,0.1335177149396786,0.4330582578600063,-0.7878156577535708,0.14075482372203588,-0.728722116494731,-0.9006891183832997,0.052348846973811564,-0.6272072792053223,41.87548828125,16.914182662963867,2.002481698989868,-0.644573986530304,0.07398699223995209
-0.4676995277404785,-0.854856014251709,0.013685464859008789,-1.234609603881836,0.7390506267547607,-0.8287239074707031,0.38444995880126953,0.08289813995361328,-1.3514995574951172,0.6714344024658203,0.5904436111450195,-0.5035400390625,0.6437461256020218,0.44823804301177816,0.262266940060083,-0.9811167803156741,-0.5555290639454484,0.3051833484335511,0.43042285047033,-0.8198606254891214,0.16681894317916854,-0.753272900701751,-0.8996794811398353,0.06592181678586093,-0.591516375541687,43.60371017456055,17.556968688964844,2.082152843475342,-0.6637865304946899,0.07463304698467255
-0.46378374099731445,-0.8534729480743408,0.00019240379333496094,-1.2280278205871582,0.7449355125427246,-0.8337440490722656,0.39157867431640625,0.1383066177368164,-1.3493061065673828,0.6581783294677734,0.5884885787963867,-0.50201416015625,0.3695403395002861,0.4958992942971581,0.09774938012588213,-1.0919320999427808,-0.8284855998474157,-0.05721914934197978,0.42813414526371757,-0.8565549135022981,0.19261943048303043,-0.7762716901598775,-0.8942008892710934,0.07822450973942838,-0.8508722186088562,42.90606689453125,17.099943161010742,2.0560808181762695,-0.6554011106491089,0.07509668171405792
-0.4598653316497803,-0.8525447845458984,-0.013303041458129883,-1.221531867980957,0.7506742477416992,-0.8387908935546875,0.39184093475341797,0.09281635284423828,-1.3495445251464844,0.6495952606201172,0.5738735198974609,-0.5046844482421875,0.5113961472439443,-2.744135037192447,0.2384131222582491,-0.66040434865535,-1.097892427999237,-0.019073049780659927,0.4261743770877322,-0.8967602803784933,0.21795089629245404,-0.7967499716268851,-0.8859810816511329,0.08897687638129588,-0.828679084777832,41.0006103515625,16.183704376220703,1.9502217769622803,-0.6176848411560059,0.07577359676361084
-0.45584726333618164,-0.8517105579376221,-0.0267484188079834,-1.2150821685791016,0.7563395500183105,-0.8438148498535156,0.4018068313598633,0.08342266082763672,-1.3445377349853516,0.6449699401855469,0.5665302276611328,-0.5023956298828125,0.44943016546659675,-0.8285251060988985,0.3576367364455677,-0.7105049830718612,-0.5793715130418197,0.03814791855419389,0.42452224438366815,-0.9392638276493498,0.24268630285014015,-0.8140309294508672,-0.8768397973922111,0.09806610824924208,-0.6088140606880188,39.11086654663086,15.193890571594238,1.8611609935760498,-0.5991584062576294,0.07594069093465805
-0.45183897018432617,-0.8509480953216553,-0.04017233848571777,-1.208728313446045,0.7619624137878418,-0.8488540649414062,0.4008293151855469,0.07624626159667969,-1.3423919677734375,0.6353855133056641,0.562286376953125,-0.5039215087890625,0.12755710266558581,-0.6044060845930094,0.22173477659625196,-0.8964760860235563,-0.7021601258881313,0.15259167421677555,0.42312149010508887,-0.9828408237276891,0.26678539598642786,-0.8277696562060682,-0.8685197305195396,0.1055074909592983,-0.6110144853591919,40.59197235107422,15.77094841003418,1.9348347187042236,-0.6162977814674377,0.07648070901632309
-0.44779539108276367,-0.8502347469329834,-0.0535733699798584,-1.2024579048156738,0.7674872875213623,-0.8538475036621094,0.40435791015625,0.0713348388671875,-1.3401031494140625,0.6270408630371094,0.5524873733520508,-0.4993438720703125,0.6949742513827961,-1.0204081632653061,0.2598703032614915,-1.0084875071523938,-1.296967385084875,0.24794964714857906,0.42183633151925115,-1.0262093849933855,0.2902874605368668,-0.8379568530861271,-0.8625732295270958,0.1114550733346963,-0.5295205116271973,40.89117431640625,15.798988342285156,1.942338228225708,-0.6137539744377136,0.07693355530500412
-0.443648099899292,-0.8496763706207275,-0.06694531440734863,-1.196305751800537,0.772850751876831,-0.8588371276855469,0.41472911834716797,0.05583763122558594,-1.3371944427490234,0.6152153015136719,0.536346435546875,-0.49896240234375,0.2896719435437726,-0.056027083730688536,0.26583063131794776,-0.8702078962426092,-0.9441159641426664,0.32424184627121877,0.4204272090688853,-1.067836927139064,0.31328471483264186,-0.8449211857921116,-0.8603013176561246,0.11623853010277255,-0.5862826108932495,42.52988815307617,16.36930274963379,2.024991989135742,-0.6348683834075928,0.07743669301271439
-0.4395465850830078,-0.8489742279052734,-0.08029317855834961,-1.1902093887329102,0.7781867980957031,-0.8637657165527344,0.41015148162841797,0.07021427154541016,-1.3347864151000977,0.6096363067626953,0.533604621887207,-0.49285888671875,0.09179342902102904,0.05722187783129083,0.3397548996232893,-0.8571360450145439,-0.24557722569262314,0.05722187783129083,0.41855967281992473,-1.1058542609609447,0.3358939051554062,-0.8492994944936275,-0.8626955827995163,0.12036069401867255,-0.44380778074264526,39.71006393432617,15.060230255126953,1.8925442695617676,-0.6014817953109741,0.07793070375919342
-0.4353809356689453,-0.8484044075012207,-0.0935971736907959,-1.1842286586761475,0.783501148223877,-0.868743896484375,0.41656494140625,0.05698204040527344,-1.330399513244629,0.5980730056762695,0.5314350128173828,-0.4978179931640625,0.729578942348958,-3.5334509560822087,0.4863859615659721,-0.7915693099995231,-0.9823089027704925,-0.1335177149396786,0.41585027527163965,-1.138354397368441,0.35824580862841904,-0.8519430755054971,-0.8703439793333392,0.12440902393623772,0.14804165065288544,37.732852935791016,14.032079696655273,1.7798916101455688,-0.5795435905456543,0.07798651605844498
-0.431133508682251,-0.8484089374542236,-0.10684776306152344,-1.178290605545044,0.7886407375335693,-0.8736991882324219,0.4247426986694336,-0.00045299530029296875,-1.325058937072754,0.5938053131103516,0.5139589309692383,-0.4955291748046875,0.6890139233263399,-3.2602994468815565,0.3611958802212474,-0.8463665840167843,-1.2564371543009727,0.019073049780659927,0.41195995797846174,-1.1640652288665938,0.38048662663442856,-0.8537747055035895,-0.8833573938385529,0.12890668161241772,-0.4441069960594177,39.526023864746094,14.668821334838867,1.864639401435852,-0.5889030694961548,0.07844953238964081
-0.4268300533294678,-0.8484911918640137,-0.12007951736450195,-1.1724791526794434,0.7937037944793701,-0.8786735534667969,0.4303455352783203,-0.008225440979003906,-1.3231754302978516,0.5811452865600586,0.5063056945800781,-0.4974365234375,0.3039767308792676,0.36238794583253864,0.30040053404539385,-0.66040434865535,-0.7057028418844173,0.038146099561319854,0.40670145405225555,-1.1828942384391548,0.4027660887401216,-0.8556380468419432,-0.9013739236375959,0.13419361198970328,-1.0376369953155518,43.25456237792969,16.261281967163086,2.0546326637268066,-0.6257389187812805,0.07940221577882767
-0.42252182960510254,-0.8484232425689697,-0.1332700252532959,-1.166673183441162,0.7987022399902344,-0.8836212158203125,0.43082237243652344,0.006794929504394531,-1.3190507888793945,0.580596923828125,0.4998445510864258,-0.4947662353515625,0.3278180431050925,0.0917890520694259,0.45298493229067327,-0.8690158306313179,-0.7164314323860386,0.514972344077818,0.40007835438686756,-1.1957586754646996,0.42520298558348446,-0.8581792464845325,-0.9235925993613371,0.14041134343875022,-0.9687131643295288,43.52653503417969,16.259183883666992,2.0752079486846924,-0.6310895085334778,0.08019266277551651
